,title,artist,lyrics,sentiment
1203,Soilborn,Killswitch Engage,"Time will not stand still
Today is the day the day of salvation
Living for more than just a synthetic force fed existence
This is my disposition I will strive for the thruth
This is my disposition I will strive for integrity
Time will not stand still
We are the soilborn we are the children soilborn
Washed in blood because we are blind
We must not take this life for granted
In this everlasting thirst to mantain vitality
This is my disposition I will strive to find rebirth
Today is the day of salvation
Life has only just begun today is the day


",4
1204,Temple From The Within,Killswitch Engage,"Make me feel serenity
When all is revealed
So easy to look back in life

And question but I must
Seek the strength to push
Forward…; forward…; forward

I want to see a world so
Beautiful inside
As we drink of life
Absolve me through your suffering

Make me feel serenity
When all is revealed
So easy to look back in life

And question but I must
Seek the strength to push
Forward…; forward…; forward

Teach me to inscribe these words
Upon my heart
Cover me with the shadow
Of your hand

Suffer tears me down

I will not lose myself
In everything that tears me down
Because you stand by me
There’s no one to blame
No one to blame for my transgressions

Teach me to inscribe these words
Upon my heart
Cover me with the shadow
Of your hand

I will not lose myself (in everything)
That tears me down (because you stand)
Stand by me

I want to see a world so
Beautiful inside
As we drink of life
Absolve me through your suffering

I will not lose myself
In everything that tears me down
Because you stand by me
There’s no one to blame
No one to blame


",3
1205,Vide Infra,Killswitch Engage,"I have opened my eyes to see
The world that surrounds me, daily
I refuse to be led by the majority
Can’t compromise, I and I

To pass judgment
Judgment will
Be passed upon you

I have opened my eyes to see
The world that surrounds me, daily
I refuse to be led by the majority
Can’t compromise, I and I

To pass judgment
Judgment will
Be passed upon you

I will stand up for who I am
(Never moved)
Never moved by condemnation

No one is placed higher than another
No matter race or creed or gender
We must teach forgiveness and compassion
For all life

Through understanding (understand)
Of our differences
We will find respect for one another
Because we are all flesh and blood

No one is placed higher than another
No matter race or creed or gender
We must teach forgiveness and compassion
For all life

I am not afraid
To speak my mind
No matter the consequences
(Stay true to myself)

Through the humble eyes of a child
We will realize true equality

They cannot take me from me
They cannot take you from you
They cannot take I from I
They cannot take I from I
They cannot take me from me
They cannot take you from you
They cannot take I from I


",3
1206,Detachable Penis,King Missile,"I woke up this morning
With a bad hangover
And my penis was missing again
This happens all the time, it’s detachable

(Detachable penis)

This comes in handy a lot of the time
I can leave it home
get me in trouble
Or I can rent it out when I don’t need it

But now and then I go to a party,
Get drunk, and the next morning
I can’t, for the life of me,
Remember what I did with it

First I looked around my apartment
And I couldn’t find it
So I called up where the party was
They hadn’t seen it either
I asked them to check the medicine cabinet
’Cause, for some reason I leave it there sometimes
But, not this time
So I told them if it pops up to let me know

I called a few people who were at the party
But they were of no help either
I was starting to get desperate
I really don’t like being without my penis for too long
Make me feel like less of a man
And, I really hate having to sit down every time I take a leak

After a few hours searching the house,
Calling everyone I could think of,
I was starting to get very depressed, so
I went to the kia and ate breakfast

Then as I walked down the 2nd Avenue
Towards St. Marks place
Where all those people sell XXX
And other junk on the street

I saw my penis lying on a blanket
Next to a broken toaster oven
Some guy was selling it
I had to buy it off him
He wanted 22 bucks
But I talked him down to 17
I took it home, washed it off
And put it back on
I was happy again, complete

People sometimes tell me
I should get it permanently attached,
But, I dunno…
Even if sometimes it’s a pain in the ass
I like having a detachable penis

(Detachable penis)
(Detachable penis)
(Detachable penis)
(Detachable penis)
(Detachable penis)
(Detachable penis)


",2
1207,Closer,Kings of Leon,"Stranded in the spooky town
Stoplights are swaying and the phone lines are down
The floor is crackling cold
She took my heart, I think she took my soul
With the moon I run
Far from the carnage of the fiery sun

Driven by the strangle of vein
Showing no mercy, I’d do it again
Open up your eye
You keep on crying, baby, I’ll bleed you dry
The skies, they blink at me
I see a storm bubbling up from the sea

Now it’s coming closer
Now it’s coming closer

You shimmy shook my bone
Leaving me stranded, all in love on my own
Do you think of me?
Where am I now, baby, where do I sleep?
Feels so good, but I’m old
Two thousand years of chasing, taking its toll

Now it’s coming closer
Now it’s coming closer
Now it’s coming closer
Now it’s coming closer


",3
1208,Today,KMFDM,"Isolation
When you leave it’s like I disappear
Desolation
Every time you go it feels like
Seconds slowly turn to minutes
A month of Sundays coming up
Time again it pulls me under
Wonder if I’ll ever rise above
It’s too much but not enough

Misery loves company
For a little bit of sympathy

It’s here today but it’s gone tomorrow
It’s here today and today will never come again
It’s here today

Desperation
Sinking into somewhere dark and cold
Deviation
A place I knew I didn’t wanna go
To forget is all I know

Misery loves company
For a little bit of sympathy

It’s here today but it’s gone tomorrow
It’s here today and today will never come again
It’s here today but it’s gone tomorrow
It’s here today and today will never come again
It’s here today

Minutes slowly turn to hours
Another moment passes by
Seconds of eternity
I wonder if it’s time to say goodbye

It’s here today but it’s gone tomorrow
It’s here today and today will never come again
It’s here today but it’s gone tomorrow
It’s here today and today will never come again
It’s here today


",3
1209,Stray Bullet,KMFDM,"I am your holy totem
I am your sick taboo
Radical and radiant
I’m your nightmare coming true

I am your worst enemy
I am your dearest friend
Malignantly malevolent
I am of divine descent

I am your apocalypse
I am your belief unwrought
Monolithic juggernaut
I’m the illegitimate son of God

Stray bullet
From the barrel of love
Stray bullet
From the heavens above
Stray bullet
Ready or not
I’m the illegitimate son of God

Stray bullet
Stray bullet
Stray bullet
Ready or not
I’m the illegitimate son of God

I have come to rock your world
I have come to shake your faith
Anathematic anarchist
I have come to take my place

I am your apocalypse
I am your belief unwrought
Monolithic juggernaut
I’m the illegitimate son of God

Stray bullet
From the barrel of love
Stray bullet
From the heavens above
Stray bullet
Ready or not
I’m the illegitimate son of God

Stray bullet
Stray bullet
Stray bullet
Ready or not
I’m the illegitimate son of God

(Even if God really existed)
(It would be necessary to abolish him!)

I am your unconsciousness
I am unrestrained excess
Metamorphic restlessness
I’m your unexpectedness

Stray bullet
(From the barrel of love)
Stray bullet
(From the heavens above)
Stray bullet
(Ready or not)
(I’m the illegitimate son of God)

Stray bullet
(From the barrel of love)
Stray bullet
(From the heavens above)
Stray bullet
(Ready or not)
(I’m the illegitimate son of God)

Stray bullet
From the barrel of love
Stray bullet
From the heavens above
Stray bullet
Ready or not
I’m the illegitimate (son of God)

Stray bullet
(From the barrel of love)
Stray bullet
(From the heavens above)
Stray bullet
(Ready or not)
(I’m the illegitimate son of God)

Stray bullet
(From the barrel of love)
Stray bullet
(From the heavens above)
Stray bullet
(Ready or not)
(I’m the illegitimate son of God)


",4
1210,Internet Friends,Knife Party,"Come now, surely we can be friends
I know so much about you
I love you
Look at everything I’ve done for you
You’d be nothing without me

Why don’t you answer me?
I bet you’re busy talking to some fucking slut
Fucking skank… is she hotter than me?
Would you fuck me?
Are you gay?

You blocked me on Facebook
And now you’re going to die

Now you’re going to die

You blocked me on Facebook

And now you’re going to die

Now you’re going to die

You blocked me on Facebook


",2
1211,EDM Death Machine,Knife Party,"In the future, nobody will drop the bass
No-one will do the Harlem Shake
No-one will know bitches love cake

There will be no Internet Friends
There will be no Antidote
The human race will be extinct

Say hello to the robots!

Say hello to the robots!


",3
1212,Bonfire,Knife Party,"(Nasty let it down)
(Will never let it on)
Do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches down you’ll will never let it on
Bo bo bo bo bon bonfire

No do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
Bo bo bo bo bon bonfire

Bo bo bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire

Do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches down you’ll will never let it on
No do not burn girl I’ll be nasty let it down
The sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
Hey bo bo bo bo bon bonfire

Do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
No do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
Bo bo bo bo bo bo bon bonfire

Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire
Hey bo bo bo bo bon bonfire

Do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
No do not burn girl I’ll be nasty let it down
Meh sweat drops, from the dark me love me sanity
Let me take tha matches off you’ll will never let it on
Hey bo bo bo bo bon bonfire


",3
1213,Centipede,Knife Party,"Giant tropical centipedes share their territories with tarantulas.

Despite its impressive length, it’s a nimble navigator, and some can be highly venomous.

As quick as lightning, just like the tarantula it’s killing, the centipede has two curved hollow fangs which inject paralyzing venom.

Even tarantulas aren’t immune from an ambush.

This centipede is a predator.

Centipede

Centipede

Centipede

Centipede

Centipede

Centipede


",3
1214,Blind,Korn,"Are you ready?

This place inside my mind
A place I’d like to hide
You don’t know the chances
What if I should die?

A place inside my brain
Another kind of pain
You don’t know the chances
I’m so blind
Blind
Blind

Another means I’ll find
To escape the pain inside
You don’t know the chances
What if I should die?

A place inside my brain
Another kind of pain
You don’t know the chances
I’m so blind
Blind
Blind

Deeper and deeper and deeper as I dream to
Live a life that seems to be
A lost reality
That I can never find a way to reach
My inner self-esteem is low
How deep can I go
In the ground that I lay
If I don’t find a way to
See through the gray that clouds my mind
This time I look to see what’s between the lines

I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind

I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind

I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind
I can see, I can see I’m goin’ blind

I’m blind
I’m blind
I’m blind
I’m blind


",2
1215,Freak On a Leash (Dante Ross Mix),Korn,"Something takes a part of me
Something lost and never seen
Every time I start to believe
Something’s raped and taken from me, from me

Life’s got to always be messing with me
Can’t they chill and let me be free?
Can’t I take away all this pain?
I try to every night, all in vain, in vain

Sometimes I cannot take this place
Sometimes it’s my life I can’t taste
Sometimes I cannot feel my face
You’ll never see me fall from grace

Something takes a part of me
You and I were meant to be
A cheap fuck for me to lay
Something takes a part of me

Feeling like a freak on a leash
Feeling like I have no release
How many times have I felt diseased?
Nothing in my life is free, is free

Sometimes I cannot take this place
Sometimes it’s my life I can’t taste
Sometimes I cannot feel my face
You’ll never see me fall from grace

Something takes a part of me
You and I were meant to be
A cheap fuck for me to lay
Something takes a part of me

Take it over here, baby
Da boom na da mmm dum na ema
Da boom na da mmm dum na ema
Da boom na da mmm dum na ema
Da boom na da mmm dum na ema

Da boom na da mmm dum na ema
Da boom na da mmm dum na ema
Da boom na da mmm dum na ema
Da boom na da mmm dum na ema

So, fight something on the
Fight, somethings they fight
So, something on the
Fight, somethings they fight

Fight, something of the
No, somethings they fight
Fight, something of the
Fight, somethings they fight

Something takes a part of me
You and I were meant to be
A cheap fuck for me to lay
Something takes a part of me

Part of me
Part of me
Part of me
Part of me
Part of me
Part of me
Part of me
Part of me
Part of me


",2
1216,Word Up!,Korn,"Oh

(Oh)

Yo, pretty ladies around the world, got a weird thing to show you
So tell all the boys and girls
Tell your brother, your sister, and your mama too
We’re about to go down, and you’ll know just what to do

Wave your hands in the air like you don’t care
Glide by the people as they start to look and stare
Do your dance, do your dance, do your dance quick, mama
Come on, baby, tell me what’s the word

The word up (up, up)
Everybody say, when you hear they call you, you’ve got to get it underway
Word up (up, up)
It’s the code word
No matter where you say it, you’ll know that you’ll be heard

Now all you sucker D.J.’s who think you’re fly
There’s got to be a reason, and we know the reason why
You try to put on those Airs and act real cool
But you’ve got to realize that you’re acting like fools

If there’s music we can use it, be free to dance
We don’t have the time for psychological romance
No romance, no romance, no romance for me, mama
Come on, baby, tell me what’s the word

The word up (up, up)
Everybody say, when you hear they call you, you’ve got to get it underway
Word up (up, up)
It’s the code word
No matter where you say it, you’ll know that you’ll be heard

(Oh)

(Oh)

(Oh)

Word up (up, up)
Everybody say, when you hear they call you, you’ve got to get it underway
Word up (up, up)
It’s the code word
No matter where you say it, you’ll know that you’ll be heard

Word up (up, up)
Everybody say, when you hear they call you, you’ve got to get it underway
Word up (up, up)
It’s the code word (yeah)
No matter where you say it, you’ll know that you’ll be heard

(Oh)


",3
1217,Twisted Transistor,Korn,"Hey you, hey you, devil’s little sister
Listening to your twisted transistor
Hold it between your legs, turn it up, turn it up
The wind is coming through, can’t get enough

A lonely life where no one understands you
But don’t give up, because the music do

Music do, music do
Music do, music do
Music do, music do

Because the music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor

Hey you, hey you, finally you get it
The world ain’t fair, eat you if you let it
And as your tears fall on your breast, your dress
Vibrations coming through, you’re in a mess

A lonely life where no one understands you
But don’t give up, because the music do

Music do, music do
Music do, music do
Music do, music do

Because the music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor

Music do, music do
Music do, music do
Music do, music do
Music do, music do

Hey you, hey you, this won’t hurt a bit
(This won’t hurt a bit, this won’t hurt)
Says who, says who?  Anesthetize this bitch!
(A-nes-the-tize this bitch, anesthetize!)
Just let me be, between you and me, don’t fit
(Don’t fit!)

Music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor


",2
1218,Die Another Day,Korn,"The madness creeping up on me,
The pressure’s building I foresee,
Alienation’s lurking
Spawning lunacy.

Slowly escaping
This wreckage in making
So don’t look back for me.

Sometimes we take it all.
Nothing stands in our way.
We have to fight and crawl
To die another day.

Die another day.
Die another day.

Misery often misleads.
It creates things we cannot see.
Excessive thoughts are bound
Distorting reality.

Slowly escaping
This carnage in making
So don’t look back for me.

Sometimes we take it all.
Nothing stands in our way.
We have to fight and crawl
To die another day.

Die another day.
Die another day.

Hello, are you there?
How come won’t you listen?
I really don’t care.
I really don’t care.

Slowly escaping
This wreckage in making
Nothing will be the same.
So don’t look back for me.

Sometimes we take it all.
Nothing stands in our way.
We have to fight and crawl
To die another day.

Sometimes we take it all.
Nothing stands in our way.
We have to fight and crawl
To die another day.


",2
1219,It's All Wrong,Korn,"What’s it gonna be today?
Keep chipping at my soul, and why must it disobey?
The only thing I loathe

How many times a day must I die?
Nothing’s gonna work today
I’m killing time, looking all around to find a way
It’s all wrong, knowing that my demon won
I’m done

Have I been lead astray?
Blaming the righteous, what do you think they’d say?
Attacking the altar

How many times a day must I die?
Nothing’s gonna work today
I’m killing time, looking all around to find a way
It’s all wrong, knowing that my demon won
I’m done

I’m done

I’m done with faceless feelings
I’m done with anything
I’m done trying to support you and sacrificing everything

Everything, everything

How many times a day must I die?
Nothing’s gonna work today
I’m killing time, looking all around to find a way
It’s all wrong, knowing that my demon won
I’m done


",1
1220,Love & Meth,Korn,"Feelings you see are so hard to believe
All the chaos I have in my heart
Devils I make and the love can relate
All the solace inside tears me up

Take me away, set me on fire
There’s no other way

Give me a reason ’cause I got nothing to gain
So what are we doing now?
Feeling complacent, I cannot be contained, I’m so lost and lonely now

Weaving deceit is so easy for me ’cause the loathing I’ve had from the start
Evil disease all the hatred it breathes as I’m down on my knees torn apart

Take me away, set me on fire
There’s no other way

Give me a reason ’cause I got nothing to gain
So what are we doing now?
Feeling complacent, I cannot be contained, I’m so lost and lonely now

Where do I run? Where do I hide?
Give me a reason to my end my life
Where do I run? Where do I hide?
Give me a reason to get out alive

Give me a reason ’cause I got nothing to gain
So what are we doing now?
Feeling complacent, I cannot be contained, I’m so lost and lonely now
Give me a reason ’cause I got nothing to gain
So what am I doing now?
(What am I doing now?)
Feeling complacent, I cannot be contained, I’m so lost and lonely now


",2
1221,Lullaby for a Sadist,Korn,"Seething, I walk the circle I called out long ago
But somehow I get lost each time
Feeding this hunger deep inside that never lives
The voice within eats me up inside

One, I love hurting you
Two, I love your pain
Three, let’s get together and play the sinner’s game
Four is for the torture and five is for the shame
’Cause every time you want it, I get off on this game

You wanted to play, the coldness follows
This isn’t a game, your life, I’ll swallow
And I can’t help but smile at your pain
You wanted to play, but I already won

Gloating, I plant the seed inside your head right away, watch it grow
Destroying your insides, pleading to comfort you with my sadistic ways
I watch the tears fall, I crack a smile

One, I love hurting you
Two, I love your pain
Three, let’s get together and play the sinner’s game
Four is for the torture and five is for the shame
’Cause every time you want it, I get off on this game

You wanted to play, the coldness follows
This isn’t a game, your life, I’ll swallow
And I can’t help but smile at your pain
You wanted to play, but I already won

I look at you and start to crack, start to crack
I give into, you take it back, take it back
This lullaby is all you have, all you have
Sadistic pleasure, I attack, I attack
I attack, I attack, I attack

You wanted to play, the coldness follows
This isn’t a game, your life, I’ll swallow
And I can’t help but smile at your pain
You wanted to play, but I already won
I already won, I already won


",3
1222,Mass Hysteria,Korn,"Wake up, it’s almost over
Something is taking me
Every time I’m up, it kills me
With a day to day, shock-waves shatter me

I don’t beg in security
Get up and don’t look back now, don’t look back now

We ride a dying star across a burning sea
We’re like a supernova now, the fire is burning in me
Mass hysteria, mass hysteria

Giving up, I won’t stop fighting
Bring it on, it won’t phase me
Any time it makes me stronger
With a day to day, shock-waves shatter me

I don’t beg in security
Get up and don’t look back now, don’t look back now

We ride a dying star across a burning sea
We’re like a supernova now, the fire is burning in me
Mass hysteria, mass hysteria

Going on day to day, stirring up the heavy sorrow
Why does life got be this way?
Every time I’m up, it kills me
Somewhere deep, responding change
Manipulation rampant all around
Dark all these days, calling on something to follow

Mass hysteria
(Mass hysteria)

We ride a dying star across a burning sea.
We’re like a supernova now, the fire is burning in me
Mass hysteria, mass hysteria


",2
1223,Never Never,Korn,"I’ll never love again (Love again, love again)
I won’t ever have to pretend (Pretend, pretend, pretend, pretend)
I’m never gonna love again (Love again, love again)

Damn

I don’t ever want to have to try and though I lie, it never flies
I don’t ever wanna have to die, but deep inside, the death it hides
And I never wanna clarify and justify, so I run and hide
And I never wanna signify, so I pacify all the hate inside

(No) I’ll never love again
(No) I won’t ever have to pretend
(No) I’m never gonna love again
Never gonna have to try to pretend
Never, never, never

I don’t ever wanna satisfy, ’cause things inside are doin’ fine
I don’t ever wanna multiply, ’cause deep inside I’m not qualified
And I never wanna clarify and justify, so I run and hide
And I never wanna signify, so I pacify all the hate inside

(No) I’ll never love again
(No) I won’t ever have to pretend
(No) I’m never gonna love again
Never gonna have to try to pretend
Never, never, never

I’ll never love again
I’m never gonna love again

Never, never, never

(No) I’ll never love again
(No) I won’t ever have to pretend
(No) I’m never gonna love again
Never gonna have to try to pretend
Never, never, never

(No) Never, never, never
(No) Never, never, never
(No) I’m never gonna love again
Never gonna have to try to pretend
Never, never, never


",1
1224,Paranoid And Aroused,Korn,"Help me, I am freaking, and my heart is barely beating
And the demons, they are creeping around
Take me, I am sinking, and my lungs are barely breathing as the angels put me into the ground

And everybody’s peeking, no one makes a sound
The shadows are deceiving, paranoid and aroused

Slap me, I am shaking, and my guts are really aching
And the demons, they’re laughing out loud
Spare me, I am fading, and my will is dissipating as the angels put me into the ground.

And everybody’s peeking, no one makes a sound
The shadows are deceiving, paranoid and aroused

My mind is debating, these lesions I’m making
This mess is sedating, the power embracing
The bullshit I’m facing, my feelings, I’m hating
Reality is failing, this shit is degrading

And everybody’s peeking, no one makes a sound
The shadows are deceiving, paranoid and aroused

The bullshit I’m facing, my feelings, I’m hating
Reality, it’s failing
This shit is degrading


",2
1225,Prey For Me,Korn,"How come, what’s wrong with you?
Darling faces all come frowns
Let’s do what devils do, hang each other when no one’s around
Why can’t I torture you?
Giving pain, then you take it away
The little things you do, simply, I love your evil ways
(Your ways, your ways, your ways)

Prey for me, I think I owe you an apology
Somehow, you bring the violence out in me
I’m just a shell of what I used to be
Passion is sometimes a fucked up thing for me

This virus follows you
Nothing’s left, you’re dead on the ground
How can I covet you?
Give you Hell and you can’t rebound
My soul infected you, blackened thoughts, they run through your head
The little things you do, simply, I wish you were dead
(Were dead, were dead, were dead)

Prey for me, I think I owe you an apology
Somehow, you bring the violence out in me
I’m just a shell of what I used to be
Passion is sometimes a fucked up thing for me
(Prey for me)
I think I owe you an apology
(Prey for me)
Somehow you bring the violence out in me
(Prey for me)
I’m just a shell of what I used to be
Passion is sometimes a fucked up thing for me

Goodbye, so long, wish I could stay, but everything is all wrong
Goodbye, so long, wish I could stay, but everything is all wrong

Everything is all wrong
(Everything)
Wrong, wrong
(Everything)
Wrong

Prey for me, I think I owe you an apology
Somehow, you bring the violence out in me
I’m just a shell of what I used to be
Passion is sometimes a fucked up thing for me
(Prey for me)
I think I owe you an apology
(Prey for me)
Somehow, you bring the violence out in me
(Prey for me)
I’m just a shell of what I used to be
Passion is sometimes a fucked up thing for me


",2
1226,Punishment Time,Korn,"I’m walking on a razor blade
Careful not to cross the line
Every little step I take
It’s punishment time
Now I’m getting to the end of the blade
Slipping to the other side
Every little step I take
It’s punishment time

Fighting to survive
There’s no tomorrow
Fighting to survive
There’s no today
Fight or flight
I’m losing my mind
Heavy on the heart
There’s no tomorrow
Heavy on the heart
There’s no today
Fight or flight
I’m losing my mind

I’m hanging like a bat today
Crucified by design
Every little move I make
It’s punishment time
Now I’m sleeping on a bed of nails
They’re breaking through one at a time
Cause every little move I make
The punishment’s mine

Fighting to survive
There’s no tomorrow
Fighting to survive
There’s no today
Fight or flight
I’m losing my mind
Heavy on the heart
There’s no tomorrow
Heavy on the heart
There’s no today
Fight or flight
I’m losing my mind

I give and don’t get
I try to my death
For something inside me
That makes me forget

Fighting to survive
There’s no tomorrow
Fighting to survive
There’s no today
Fight or flight
I’m losing my mind
Heavy on the heart
There’s no tomorrow
Heavy on the heart
There’s no today
Fight or flight
I’m losing my mind

Losing my mind!
Losing my mind!
Losing my mind!
Losing my mind!
Losing my mind!
Losing my mind!


",1
1227,Spike in My Veins,Korn,"We are the ones taking all the pain, falling on our faces
They don’t care anyway, anyway, now
You’re the one that makes me feel like I’m alive
You’re the one that pushes me all the time, all the time, now

We are hard and grey, always praised to do what they say
Calling me deranged, feeling power, I must take its place some way

Never gonna run away, seeking out the path, but the pain always gets in the way
Slowly watch me die
I’m insane, so dangerous, don’t you dare get in my way
Throwing in the towel, got me strained, so betrayed, get the fuck out of my way
Looking at my thoughts, I take my time pounding all these spikes in my veins

We are the ones reaching out in vain, trying to solve our problems
They won’t go away, go away now
You’re the one that makes me feel like I’m alive
You’re the one that pushes me all the time, all the time, now

We are hard and grey, always praised to do what they say
Calling me deranged, feeling power, I must take its place some way

Never gonna run away, seeking out my path, but the pain always gets in the way
Slowly watch me die
I’m insane, so dangerous, don’t you dare get in my way
Throwing in the towel, got me strained, so betrayed, get the fuck out of my way
Looking at my thoughts, I take my time pounding all these spikes in my veins

Pounding all these spikes in my veins, pounding all these spikes in my veins
Pounding all these spikes in my veins

Never gonna run away, seeking out my path, but the pain always gets in the way
Slowly watch me die
I’m insane, so dangerous, don’t you dare get in my way
Throwing in the towel, got me strained, so betrayed, get the fuck out of my way
Looking at my thoughts, I take my time pounding all these spikes in my veins

Pounding all these spikes in my veins, pounding all these spikes in my veins
Pounding all these spikes in my veins, pounding all these spikes in my veins
Pounding all these spikes in my veins
Looking at my thoughts, I take my time, pounding all these spikes in my veins


",3
1228,Victimized,Korn,"Our lives are fake, they mean nothing, you see
Our dreams are lost, just a fantasy
How many times have you been misguided?
How many times have your hopes been smited?
This life means nothing to me

Victimized, deceived, a black veil of insanity’s crushing
Like fire beating all of our disease, the black veil of insanity misleads

Our hearts are free
Does that mean anything?
Do what we’re told, self-seeking hypocrisy
How many times have you been misguided?
How many times have your hopes been smited?
This life means fuck to me

Victimized, deceived, a black veil of insanity’s crushing
Like fire beating all of our disease, the black veil of insanity misleads

Black veil, it’s coming for me, it’s coming for me, it’s coming for me
It’s coming for me, it’s the black veil of insanity, it’s coming for me
Set free, set free, set free, set free
Set free, set free, set free, set free
Set free

Victimized, deceived, a black veil of insanity’s crushing
Like fire beating all of our disease, the black veil of insanity misleads


",2
1229,What We Do,Korn,"Sometimes things get in the way, my thoughts I cannot convey
It’s all pointing straight at you
We hate loving everyday
Our lives, twirled in every way, I give it all back to you

I can’t help this going down

I can’t take this, all my life is reckless
All our lies are dangerous, but we fake our way through
That’s what we do, we do

Sometimes, things don’t go away
In turn, you just run away
It’s all coming back for you, betrayed, life is in decay
Your thoughts you cannot obey
Right now, whatcha gonna do?

I can’t help this going down

I can’t take this, all my life is reckless
All our lies are dangerous, but we fake our way through
That’s what we do, we do, we do, we do
We do, we do, we do
We do, we do, we do

I hear the calling of the helpless stranger
He’s all alone and no one gets his anger
I feel this pain everytime I’m here with you, with you
All the heartache and the fucked up insults
I find you begging on your knees, I figured
This is how it’s supposed to be with you, with you

I can’t wait for your lies to be broken down
I gave you Hell

I can’t take this, all my life is reckless
All our lies are dangerous, but we fake our way through
That’s what we do
I can’t take this, all my life is reckless
All our lies are dangerous, but we fake our way through
That’s what we do

",2
1230,Twisted Transistor (radio version),Korn,"Hey you, hey you, devil’s little sister
Listening to your twisted transistor
Hold it between your legs, turn it up, turn it up
The wind is coming through, can’t get enough

A lonely life where no one understands you
But don’t give up, because the music do

Music do, music do
Music do, music do
Music do, music do

Because the music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor

Hey you, hey you, finally you get it
The world ain’t fair, eat you if you let it
And as your tears fall on your breast, your dress
Vibrations coming through, you’re in a mess

A lonely life where no one understands you
But don’t give up, because the music do

Music do, music do
Music do, music do
Music do, music do

Because the music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor

Music do, music do
Music do, music do
Music do, music do
Music do, music do

Hey you, hey you, this won’t hurt a bit
(This won’t hurt a bit, this won’t hurt)
Says who, says who?  Anesthetize this bitch!
(A-nes-the-tize this bitch, anesthetize!)
Just let me be, between you and me, don’t fit
(Don’t fit!)

Music do, and then it’s reaching
Inside you, forever preaching
Fuck you too, your scream’s a whisper
Hang on you twisted transistor


",2
1231,Vodka,Korpiklaani,"Vodka! Vodka! Vodka! Vodka! Hey!

Vodka, you’re feeling stronger
Vodka, no more feeling bad
Vodka, your eyes are shining
Vodka, you are the real man

Vodka, wipes away your tears
Vodka, removes your fears
Vodka, everyone is gorgeous
Vodka, yeah vodka

Drinking is good for you,
soon you are unconstrained
Drinking is good for you,
Here comes the womanizer
Drinking is good for you
Not anymore lonesome
Drinking is good for you,
and you will feel awesome
and you will feel awesome

Hey!

Out of respect for nature,
Our vodka and drinkers.
Promising, that the vodka
we reserve, is as pure as it was
thousands of years ago

Out of respect for nature,
Our vodka and drinkers.

Vodka, you’re feeling stronger
Vodka, no more feeling bad
Vodka, your eyes are shining
Vodka, you are the real man

Vodka, wipes away your tears
Vodka, removes your fears
Vodka, everyone is gorgeous
Vodka, yeah vodka

Drinking is good for you,
soon you are unconstrained
Drinking is good for you,
Here comes the womanizer
Drinking is good for you
Not anymore lonesome
Drinking is good for you,
and you will feel awesome

Drinking is good for you,
soon you are unconstrained
Drinking is good for you,
Here comes the womanizer
Drinking is good for you
Not anymore lonesome
Drinking is good for you,
Yeah!

Yeah!

Vodka, you’re feeling stronger
Vodka, no more feeling bad
Vodka, your eyes are shining
Vodka, you are the real man

Vodka, wipes away your tears
Vodka, removes your fears
Vodka, everyone is gorgeous
Vodka, yeah vodka

Drinking is good for you,
soon you are unconstrained
Drinking is good for you,
Here comes the womanizer
Drinking is good for you
Not anymore lonesome
Drinking is good for you,
and you will feel awesome

Vodka!


",4
